mi,Erm/Sci,Scm/Po,Distance,X*,R*,u0*,u*,Ur,strain
10,22.95,0.2,44,8.8,3.1,0.209378368,0.988812971,0.731721598,14.63443197
10,22.95,0.2,45,9,3.1,0.209378368,0.989844852,0.73248519,14.6497038
10,22.95,0.2,46,9.2,3.1,0.209378368,0.990781553,0.733178349,14.66356698
10,22.95,0.2,47,9.4,3.1,0.209378368,0.991631853,0.733807572,14.67615143
10,22.95,0.2,48,9.6,3.1,0.209378368,0.992403723,0.734378755,14.6875751
10,22.95,0.2,49,9.8,3.1,0.209378368,0.993104397,0.734897253,14.69794507
10,22.95,0.2,50,10,3.1,0.209378368,0.99374044,0.735367926,14.70735852
10,22.95,0.2,51,10.2,3.1,0.209378368,0.994317816,0.735795184,14.71590368
10,22.95,0.2,52,10.4,3.1,0.209378368,0.994841935,0.736183032,14.72366064
10,22.95,0.2,53,10.6,3.1,0.209378368,0.99531771,0.736535106,14.73070211
10,22.95,0.2,54,10.8,3.1,0.209378368,0.9957496,0.736854704,14.73709408
10,22.95,0.2,55,11,3.1,0.209378368,0.996141653,0.737144823,14.74289646
10,22.95,0.2,56,11.2,3.1,0.209378368,0.996497543,0.737408182,14.74816364
10,22.95,0.2,57,11.4,3.1,0.209378368,0.996820606,0.737647249,14.75294498
10,22.95,0.2,58,11.6,3.1,0.209378368,0.997113871,0.737864264,14.75728529
10,22.95,0.2,59,11.8,3.1,0.209378368,0.997380084,0.738061262,14.76122525
10,22.95,0.2,60,12,3.1,0.209378368,0.997621743,0.73824009,14.7648018
10,22.95,0.2,61,12.2,3.1,0.209378368,0.997841111,0.738402422,14.76804844
10,22.95,0.2,62,12.4,3.1,0.209378368,0.998040245,0.738549781,14.77099562
10,22.95,0.2,63,12.6,3.1,0.209378368,0.998221011,0.738683548,14.77367096
10,22.95,0.2,64,12.8,3.1,0.209378368,0.998385103,0.738804976,14.77609953
10,22.95,0.2,65,13,3.1,0.209378368,0.99853406,0.738915204,14.77830408
10,22.95,0.2,66,13.2,3.1,0.209378368,0.998669277,0.739015265,14.78030529
10,22.95,0.2,67,13.4,3.1,0.209378368,0.998792021,0.739106096,14.78212191
10,22.95,0.2,68,13.6,3.1,0.209378368,0.998903444,0.739188549,14.78377097
10,22.95,0.2,69,13.8,3.1,0.209378368,0.999004589,0.739263396,14.78526792
10,22.95,0.2,70,14,3.1,0.209378368,0.999096405,0.73933134,14.78662679
10,22.95,0.2,71,14.2,3.1,0.209378368,0.999179752,0.739393016,14.78786033
10,22.95,0.2,72,14.4,3.1,0.209378368,0.999255411,0.739449004,14.78898008
10,22.95,0.2,73,14.6,3.1,0.209378368,0.999324091,0.739499827,14.78999654
10,22.95,0.2,74,14.8,3.1,0.209378368,0.999386436,0.739545963,14.79091925
10,22.95,0.2,75,15,3.1,0.209378368,0.999443031,0.739587843,14.79175685
10,22.95,0.3,-12,-2.4,2.39,0.232907875,0.021128926,0.007395124,0.14790248
10,22.95,0.3,-11,-2.2,2.39,0.232907875,0.025806928,0.009032425,0.180648497
10,22.95,0.3,-10,-2,2.39,0.232907875,0.031520653,0.011032229,0.220644573
10,22.95,0.3,-9,-1.8,2.39,0.232907875,0.038499413,0.013474794,0.26949589
10,22.95,0.3,-8,-1.6,2.39,0.232907875,0.047023289,0.016458151,0.329163023
10,22.95,0.3,-7,-1.4,2.39,0.232907875,0.057434375,0.020102031,0.402040624
10,22.95,0.3,-6,-1.2,2.39,0.232907875,0.070150504,0.024552676,0.491053528
10,22.95,0.3,-5,-1,2.39,0.232907875,0.085682019,0.029988707,0.599774133
10,22.95,0.3,-4,-0.8,2.39,0.232907875,0.104652254,0.036628289,0.73256578
10,22.95,0.3,-3,-0.6,2.39,0.232907875,0.127822552,0.044737893,0.894757865
10,22.95,0.3,-2,-0.4,2.39,0.232907875,0.156122818,0.054642986,1.092859724
10,22.95,0.3,-1,-0.2,2.39,0.232907875,0.19068884,0.066741094,1.334821881
10,22.95,0.3,0,0,2.39,0.232907875,0.232907875,0.081517756,1.630355127
10,22.95,0.3,1,0.2,2.39,0.232907875,0.32339754,0.113189139,2.263782781
10,22.95,0.3,2,0.4,2.39,0.232907875,0.403212634,0.141124422,2.822488436
10,22.95,0.3,3,0.6,2.39,0.232907875,0.473612377,0.165764332,3.31528664
10,22.95,0.3,4,0.8,2.39,0.232907875,0.535707448,0.187497607,3.749952133
10,22.95,0.3,5,1,2.39,0.232907875,0.590477502,0.206667126,4.133342514
10,22.95,0.3,6,1.2,2.39,0.232907875,0.638786633,0.223575321,4.471506428
